id	author	documents	total link strength
1	"aarnoutse, erik j."	1	3	1.00
2	"abbasi, hina naz"	1	5	1.00
3	"abbasi, omid"	2	4	2.00
4	"abbatecola, clement"	1	1	1.00
5	"aberson, christopher l."	1	5	1.00
6	"abi-jaoude, joanne"	1	8	1.00
7	"abrahams, sharon"	2	56	2.00
8	"abraira, victoria e."	1	43	1.00
9	"achit, hamza"	1	0	1.00
10	"ackerman, joshua m."	1	8	1.00
11	"acunzo, david j."	1	5	1.00
12	"ada, mireilla bikanga"	1	2	1.00
13	"adams, rick a"	1	8	1.00
14	"adams, rick a."	2	267	2.00
15	"adelman, peter c."	1	6	1.00
16	"admon, roee"	1	8	1.00
17	"adolphs, ralph"	1	437	1.00
18	"aggleton, john p."	1	5	1.00
19	"aglinskas, aidas"	1	21	1.00
20	"ahmad, nashra"	1	1	1.00
21	"ahmadi, khazar"	2	19	2.00
22	"ahrens, merle m."	1	35	1.00
23	"ahrens, merle-marie"	1	11	1.00
24	"aich, anshul"	1	1	1.00
25	"ainsworth, kirsty"	3	13	3.00
26	"aisen, paul"	1	54	1.00
27	"aitman, timothy j."	2	21	2.00
28	"akam, thomas"	1	2	1.00
29	"akar, oguz"	1	5	1.00
30	"akerman, colin j."	1	16	1.00
31	"akkermans, guus"	1	19	1.00
32	"aksi, bilal"	1	3	1.00
33	"al-ajlan, fahad"	1	0	1.00
34	"al-bachari, sarah"	1	3	1.00
35	"al-mubarak, h."	2	6	2.00
36	"al-mubarak, h. f. i."	1	11	1.00
37	"al-mubarak, haitham f. i."	1	0	1.00
38	"al-mubarak, haitham f., i"	1	3	1.00
39	"al-shahi salman, rustam"	3	6	3.00
40	"al-wasity, salim"	4	18	4.00
41	"al-wasity, salim m. h."	1	1	1.00
42	"alavash, mohsen"	1	12	1.00
43	"alba-delgado, cristina"	1	0	1.00
44	"albers, gregory w."	1	43	1.00
45	"albert, marilyn"	1	54	1.00
46	"albouy, genevieve"	2	5	2.00
47	"alday, phillip m"	1	7	1.00
48	"aldehmi, norah"	4	0	4.00
49	"alegiani, anna"	1	0	1.00
50	"alexandrov, andrei v."	1	7	1.00
51	"alexandrov, andrei, v"	1	9	1.00
52	"alexandrov, anne w."	2	16	2.00
53	"algin, o."	1	13	1.00
54	"alharbi, sarah a. h."	1	3	1.00
55	"ali, myzoon"	2	33	2.00
56	"alink, arjen"	2	1	2.00
57	"allan, kevin"	1	2	1.00
58	"allegra, michele"	1	1	1.00
59	"allen, p. m."	1	2	1.00
60	"allen, shanley e. m."	2	3	2.00
61	"allison, carrie"	1	5	1.00
62	"allwood-spiers, sarah"	1	2	1.00
63	"almarzooq, salsabil"	1	1	1.00
64	"almarzouki, abeer"	2	2	2.00
65	"almeida, jorge"	1	1	1.00
66	"almekhlafi, mohammed"	1	11	1.00
67	"almekhlafi, mohammed a."	5	109	5.00
68	"alshuhri, mohammed s."	2	19	2.00
69	"alsulaiman, wafa a. a."	2	2	2.00
70	"alvarez-jimenez, mario"	1	0	1.00
71	"alves, heitor"	1	3	1.00
72	"alves-lopes, rheure"	2	24	2.00
73	"amako, yutaka"	1	23	1.00
74	"aman, alisha"	1	13	1.00
75	"amaya, jo"	1	2	1.00
76	"ambler, g."	1	3	1.00
77	"ambler, gareth"	16	124	16.00
78	"amedi, amir"	1	10	1.00
79	"ameriso, sebastian f."	2	18	2.00
80	"amin, aliya s."	1	1	1.00
81	"anderson, craig"	1	2	1.00
82	"anderson, harry l."	1	14	1.00
83	"anderson, michael c."	1	0	1.00
84	"anderson, monika"	1	1	1.00
85	"andersson, jesper"	1	31	1.00
86	"andersson, jesper l. r."	1	3	1.00
87	"andreassen, ole a."	1	2	1.00
88	"andrews, melissa r."	1	15	1.00
89	"anguera, joaquin a."	1	0	1.00
90	"ankolekar, sandeep"	1	2	1.00
91	"antal, andrea"	3	334	3.00
92	"antico, lia"	1	2	1.00
93	"antony, james w."	1	97	1.00
94	"antri, myriam"	1	0	1.00
95	"anurova, irina"	1	1	1.00
96	"anvari, farid"	1	73	1.00
97	"apperly, ian"	1	2	1.00
98	"appiah, karen osei-bonsu"	1	29	1.00
99	"appleby, paul r."	2	15	2.00
100	"appleton, jason"	1	2	1.00
101	"apps, m. a. j."	1	0	1.00
102	"apps, matthew a."	1	12	1.00
103	"apsvalka, dace"	3	22	3.00
104	"aquino, kevin m."	2	23	2.00
105	"arabadzhiyska, d. h."	1	0	1.00
106	"arabadzhiyska, desislava h"	1	0	1.00
107	"arauz, antonio"	1	16	1.00
108	"arenillas, juan f."	1	42	1.00
109	"arleo, angelo"	1	20	1.00
110	"arlt, sonke"	1	2	1.00
111	"arnon, inbal"	3	77	3.00
112	"arnulfo, g."	1	20	1.00
113	"arnulfo, gabriele"	3	63	3.00
114	"aron, adam r."	1	4	1.00
115	"arora, kabir"	1	10	1.00
116	"arora, siddharth"	1	6	1.00
117	"arroja, m. m. c."	1	9	1.00
118	"arsenis, christos"	1	2	1.00
119	"arslan, ruben c."	2	5	2.00
120	"artola, alain"	1	0	1.00
121	"arunasalam, kanisa"	1	31	1.00
122	"arunkumar, mrudula"	2	12	2.00
123	"asboe, d."	1	9	1.00
124	"asghar, michael"	1	16	1.00
125	"assenza, giovanni"	1	18	1.00
126	"astolfi, laura"	1	84	1.00
127	"athauda, dilan"	3	7	3.00
128	"atkinson, lynsey a."	1	8	1.00
129	"au, p."	1	2	1.00
130	"au-yeung, sheena"	1	5	1.00
131	"au-yeung, sheena k."	1	42	1.00
132	"auer, dorothee p."	1	3	1.00
133	"auger, stephen d."	2	8	2.00
134	"auno, sami"	1	3	1.00
135	"avdievich, n. i."	1	25	1.00
136	"avdievich, nikolai i."	1	18	1.00
137	"avdievich, nikolai, i"	1	3	1.00
138	"avenanti, alessio"	1	6	1.00
139	"aviv, richard i."	1	7	1.00
140	"avramiea, arthur-ervin"	1	42	1.00
141	"axmacher, nikolai"	4	137	4.00
142	"aydin, h."	1	13	1.00
143	"azghandi, rana"	3	13	3.00
144	"aziz, tipu z."	1	12	1.00
145	"bai, ling"	1	58	1.00
146	"bai, yulong"	1	23	1.00
147	"baig, fahd"	3	130	3.00
148	"bailey, m. e. s."	1	13	1.00
149	"bailey, mark e. s."	4	113	4.00
150	"bajaj, nin"	7	227	7.00
151	"bajo, teresa"	1	8	1.00
152	"ball, danny"	1	0	1.00
153	"ballard, clive"	1	0	1.00
154	"bandettini, peter a."	4	184	4.00
155	"bandmann, oliver"	1	8	1.00
156	"bandres-ciga, sara"	1	2	1.00
157	"banerjee, g."	1	3	1.00
158	"banerjee, gargi"	12	120	12.00
159	"barak, omri"	1	32	1.00
160	"barbara, giovanni"	1	30	1.00
161	"barbaro, maria raffaella"	1	30	1.00
162	"barbato, carmen"	1	12	1.00
163	"barber, mark"	1	7	1.00
164	"barber, thomas"	1	1	1.00
165	"barber, thomas r."	2	83	2.00
166	"barge, hannah"	1	0	1.00
167	"barker, roger a."	8	227	8.00
168	"barki, natasja"	1	2	1.00
169	"barnett, susan c."	2	15	2.00
170	"barnett, susan carol"	1	31	1.00
171	"baron-cohen, simon"	3	70	3.00
172	"barow, ewgenia"	3	3	3.00
173	"barr, d. j."	1	27	1.00
174	"barr, dale"	1	17	1.00
175	"barr, dale j"	1	6	1.00
176	"barr, dale j."	5	221	5.00
177	"barr, matthew"	1	2	1.00
178	"barreiros, ines"	2	5	2.00
179	"barreto, andrew d."	2	16	2.00
180	"barrett, lisa feldman"	3	460	3.00
181	"barron, helen c."	1	16	1.00
182	"barry, fiona"	2	32	2.00
183	"barsalou, lawrence"	1	5	1.00
184	"barsalou, lawrence w"	1	21	0.00
185	"barsalou, lawrence w."	14	173	9.00
186	"bartlett, james e."	6	68	6.00
187	"bartolozzi, federica"	2	198	2.00
188	"baruchin, liad j."	1	2	1.00
189	"basanisi, ruggero"	1	1	1.00
190	"basbaum, allan i."	1	36	1.00
191	"basbaum, allan, i"	1	3	1.00
192	"baskozos, georgios"	3	107	3.00
193	"basseches, peter"	2	25	2.00
194	"bassett, andrew"	1	31	1.00
195	"basso, lilian"	1	30	1.00
196	"bastin, julien"	1	1	1.00
197	"bates, nicola"	1	15	1.00
198	"bath, philip"	1	46	1.00
199	"bath, philip m."	3	28	3.00
200	"bath, philip m. w."	1	0	1.00
201	"battaglia, simone"	3	44	3.00
202	"bauer, anna-katharina r."	1	20	1.00
203	"baumann, conrad"	1	21	1.00
204	"baumbauer, kyle m."	1	6	1.00
205	"baumfield, vivienne"	1	4	1.00
206	"baus, cristina"	1	14	1.00
207	"bause, j."	1	27	1.00
208	"bause, jonas"	2	31	2.00
209	"bautzova, tereza"	1	30	1.00
210	"bavelier, daphne"	1	2	1.00
211	"bazin, p. -l."	1	0	1.00
212	"beal, jack"	1	0	1.00
213	"beardow, caiseal"	1	1	1.00
214	"beare, richard"	1	1	1.00
215	"beaton, g."	1	2	1.00
216	"beattie, louise"	1	6	1.00
217	"becchio, cristina"	1	2	1.00
218	"becirspahic, marc"	1	67	1.00
219	"becker, daniel m."	1	52	1.00
220	"becker, juergen c."	1	23	1.00
221	"bediou, benoit"	1	2	1.00
222	"beenen, ludo f. m."	1	1	1.00
223	"beith, alistair"	1	4	1.00
