id	author	documents	total link strength
1	"aarts, h."	7	21
2	"abraira, v.e."	3	30
3	"acquah, d."	1	2
4	"adam, r."	1	5
5	"adams, p.d."	2	32
6	"adams, r.a."	1	9
7	"adelman, p.c."	1	9
8	"adolphs, r."	1	4
9	"agam, y."	1	8
10	"aglinskas, a."	1	2
11	"ahmadi, k."	1	6
12	"ahn, k.-j."	1	7
13	"ahrens, m.-m."	2	8
14	"ahrens, m.m."	1	3
15	"akira, s."	1	13
16	"akram, a."	4	33
17	"akram, u."	4	33
18	"al-baloushi, a.s."	1	4
19	"al-mubarak, h.f.i."	2	10
20	"al-olabi, l."	2	32
21	"al-wasity, s."	1	3
22	"al-wasity, s.m.h."	1	3
23	"alario, f.-x."	1	8
24	"alazraki, a."	1	5
25	"albers, k.m."	1	9
26	"albouy, g."	1	8
27	"albrecht, m.a."	3	19
28	"aleong, a."	1	7
29	"alfonso, b."	1	3
30	"algin, o."	1	6
31	"allan, k."	1	4
32	"allan, s."	1	5
33	"allan, s.m."	1	6
34	"allegretti, m."	1	5
35	"allen, s."	4	33
36	"aman, a."	1	11
37	"andersen, l.m."	1	7
38	"anderson, h.l."	1	5
39	"anderson, m."	1	7
40	"andrews, p.w."	1	9
41	"antal, a."	2	30
42	"anund, a."	1	5
43	"apergis-schoute, j."	1	6
44	"apps, m.a."	1	8
45	"armstrong, m.m."	2	4
46	"arnulfo, g."	5	29
47	"arroja, m.m.c."	1	7
48	"arteaga de castro, c.s."	1	6
49	"artstein, r."	3	47
50	"aslannejad, h."	1	8
51	"assenza, g."	1	12
52	"astolfi, l."	1	7
53	"atkinson, l.a."	1	5
54	"audebert, h.j."	1	4
55	"awwad shiekh hasan, b."	1	3
56	"aydın, h."	1	6
57	"ayoub, a.f."	1	7
58	"azghandi, r."	1	10
59	"aziz, t.z."	1	8
60	"badia martín, m."	1	8
61	"badia martín, m.d.m."	1	8
62	"bago-horvath, z."	1	10
63	"bailey, c.j."	1	5
64	"bailey, m.e.s."	7	75
65	"baillet, s."	2	27
66	"baker, a.h."	1	7
67	"baltzer, p."	1	10
68	"bandettini, p.a."	1	12
69	"banks, v.j."	1	7
70	"bannatyne, b.a."	1	5
71	"bannerman, d.m."	1	6
72	"barbara, g."	1	20
73	"barbaro, m.r."	1	20
74	"barbour, s.l."	1	5
75	"barnes, g."	2	27
76	"barnett, s.c."	2	13
77	"barnett, t."	2	14
78	"barr, d."	1	4
79	"barr, d.j."	7	36
80	"barral, j."	2	8
81	"barreiros, i."	2	8
82	"barrett, l.f."	6	24
83	"barsalou, l.w."	19	36
84	"bartolozzi, f."	1	22
85	"basbaum, a.i."	1	15
86	"baseer, n."	2	15
87	"baskerville, t.a."	1	3
88	"basso, l."	1	20
89	"bastien, c.h."	1	4
90	"bates, e.a."	1	3
91	"bauer, m."	1	7
92	"baumbauer, k.m."	3	19
93	"baurès, e."	1	7
94	"baus, c."	1	4
95	"bautzova, t."	1	20
96	"beal, j."	1	3
97	"beard, d.j."	2	18
98	"beato, m."	1	5
99	"beattie, l."	5	18
100	"becirspahic, m."	1	4
101	"becker, d.m."	1	16
102	"belfore, l.a."	1	16
103	"belin, p."	9	34
104	"bell, a."	1	7
105	"bell, a.m."	5	36
106	"bellingham, m."	1	8
107	"benali, h."	1	8
108	"benar, c.-g."	1	7
109	"benn, g."	1	21
110	"bennett, d.l.h."	1	15
111	"bennett, p.j."	2	7
112	"benwell, c.s."	1	3
113	"benwell, c.s.y."	13	64
114	"bercin, s."	1	6
115	"bergamo, p."	1	5
116	"bergmann, t.o."	2	14
117	"bergsma, d.p."	1	6
118	"bernard, c.s."	1	19
119	"berry, c.c."	1	5
120	"bertini, c."	1	5
121	"beskow, j."	1	5
122	"best, m."	2	3
123	"bestelmeyer, p.e.g."	3	20
124	"bestmann, s."	1	7
125	"bhumbra, g.s."	1	5
126	"bickmore, t."	1	2
127	"biello, s."	4	28
128	"biello, s.m."	13	85
129	"bieniek, m.m."	1	3
130	"biermann-ruben, k."	1	4
131	"biessels, g.j."	1	6
132	"bilsborough, e."	2	24
133	"bindemann, m."	1	3
134	"birch, j.l."	2	30
135	"birkner, k."	2	20
136	"birschel, p."	1	14
137	"bishop, p."	1	4
138	"black, k.d."	1	3
139	"black, m."	1	3
140	"blumberger, d.m."	1	21
141	"blumen, s."	4	32
142	"blyth, k."	2	32
143	"boakye, d."	1	9
144	"boberg, j."	2	26
145	"boccard, s.g."	1	8
146	"boczarow, i."	1	5
147	"bodatsch, m."	1	7
148	"boehm-sturm, p."	1	8
149	"boehme, b."	2	4
150	"bogner, w."	1	10
151	"bohan, j."	1	5
152	"bohraus, y."	1	2
153	"bolam, j.p."	1	2
154	"bolton, p.s."	1	5
155	"bonsall, d.r."	1	5
156	"booms, s."	1	10
157	"booth, m.j."	2	8
158	"boothroyd, l."	1	8
159	"bork, b."	1	7
160	"born, j."	1	19
161	"bortoletto, m."	1	3
162	"bosch, j.a."	1	6
163	"bower, j."	1	23
164	"bowman, a.w."	2	10
165	"boyle, f."	1	1
166	"boyle, k.a."	11	104
167	"boyle, s.c."	1	2
168	"bracco, m."	1	3
169	"brace, n."	1	3
170	"brack, s."	1	8
171	"brandon, n.j."	1	14
172	"bratch, a."	1	5
173	"brattico, e."	1	5
174	"braz, j."	1	15
175	"brem, a.-k."	1	4
176	"brennan, d."	1	5
177	"brereton, m."	1	3
178	"breton, j."	2	2
179	"breutigam, n.-j."	1	5
180	"brewster, s."	6	19
181	"brewster, s.a."	1	3
182	"brichta, a.m."	1	4
183	"briggs, k."	2	19
184	"brittain, j.-s."	1	11
185	"brock, c."	2	32
186	"brookes, m.j."	1	7
187	"brooks, j.l."	1	7
188	"brouwer, r.m."	1	7
189	"brown, c."	1	3
190	"brown, d."	1	7
191	"brown, e."	1	6
192	"brown, j.t."	1	14
193	"bruce, g."	1	5
194	"brydges, c."	1	7
195	"brydges, n.m."	1	6
196	"buch, e.r."	1	19
197	"bull, r."	2	6
198	"bulmer, d.c."	1	20
199	"buonocore, a."	1	2
200	"burgess, r."	1	14
201	"burgos, p."	1	3
202	"burriss, r.p."	1	8
203	"busch-moreno, s."	1	22
204	"bushnell, i."	1	1
205	"butler, s.h."	1	6
206	"butz, m."	1	7
207	"buur, p.f."	2	12
208	"bögels, s."	1	3
209	"bölte, s."	1	10
210	"cabanban, r."	1	7
211	"cai, x."	1	19
212	"cai, z."	2	12
213	"cairney, s.a."	1	4
214	"caldara, r."	1	4
215	"calder, c."	1	4
216	"caldwell, c.a."	1	3
217	"callister, r.j."	8	52
218	"caltabiano, s."	1	5
219	"caltagirone, c."	1	6
220	"calvo-merino, b."	1	2
221	"cameron, d."	2	24
222	"campbell, c."	1	7
223	"camurri, a."	1	9
224	"cao, l."	5	11
225	"cape, j."	1	5
226	"capilla, a."	1	4
227	"capone, f."	2	24
228	"cardinale, f."	1	4
229	"carnicke, s.m."	1	4
230	"carrier, j."	1	8
231	"carstensdottir, e."	2	8
232	"casarotto, s."	2	33
233	"casas, d."	2	11
234	"caslake, m."	1	7
235	"cassidy, s."	1	3
236	"castellanos, n.p."	1	12
237	"castle, p."	1	14
238	"castrén, e."	1	10
239	"catmur, c."	1	2
240	"cavanagh, j."	2	23
241	"cecere, r."	4	15
242	"celis morales, c.a."	3	35
243	"celis-morales, c."	1	10
244	"celnik, p.a."	1	19
245	"cenac, n."	1	20
246	"chalmers, a.j."	3	33
247	"chambers, j."	1	10
248	"chanudet, e."	2	32
249	"chapman, a.j."	1	3
250	"chapman, p."	3	10
251	"charest, i."	1	10
252	"checketts, m."	1	7
253	"chee, d.y."	1	9
254	"chen, c."	4	16
255	"chen, g."	1	12
256	"chen, j."	1	2
257	"chen, q."	2	7
258	"chen, r."	1	21
259	"chen, s.-c."	2	32
260	"cheng, l."	2	5
261	"chiang, m.c."	4	13
262	"chiba, t."	2	19
263	"chiu, c.-c."	3	9
264	"choi, h.s."	1	7
265	"chong, e.z."	2	8
266	"chris miall, r."	1	2
267	"christensen, j.f."	1	3
268	"chung, c.k."	1	9
269	"chung, p."	1	7
270	"cigna, f."	1	7
271	"clare, s."	1	5
272	"classen, j."	1	19
273	"clavel, c."	1	3
274	"cleary, j.f."	1	16
275	"cleland, a.a."	1	2
276	"cobb, s.r."	1	4
277	"cobey, k.d."	2	12
278	"cohen, l.g."	1	19
279	"cohen, n.r."	1	3
280	"collier, a."	1	7
281	"comber, d."	1	4
282	"condon, b."	1	7
283	"conn, v.l."	1	8
284	"cook, g.t."	2	14
285	"coon, j.p."	1	2
286	"corlett, p.r."	1	9
287	"cornwell, r.e."	1	8
288	"corrigan, e."	1	14
289	"costa, a."	1	4
290	"courrieu, p."	1	8
291	"crabbe, f."	3	18
292	"crighton, d."	1	23
293	"crivelli, c."	2	7
294	"croft, d.r."	1	23
295	"crombez, g."	1	6
296	"crosby, c.j."	1	12
297	"cross, e.s."	17	39
298	"crowe, l.a."	1	6
299	"cruz, g."	2	7
300	"cullen, b."	2	31
301	"cullen, t."	1	4
302	"cummings, s.j."	1	2
303	"curtis, a.m."	3	29
304	"dahlman, j."	1	5
305	"dal martello, m.f."	1	2
306	"dale, a."	1	5
307	"dale, a.c."	3	11
308	"dani, k."	1	8
309	"dare, s."	1	9
310	"darley, e."	1	22
311	"darshane, n."	1	9
312	"daskalakis, z.j."	1	21
313	"daube, c."	2	7
314	"davis, b.m."	1	9
315	"davis, o."	1	8
316	"dawson, k."	1	2
317	"dawson, n."	6	32
318	"de hamilton, a.f.c."	1	4
319	"de lange, f.p."	2	7
320	"de martino, f."	1	7
321	"de melo, c."	1	2
322	"de melo, c.m."	5	10
323	"de seigneux, s."	1	6
324	"de vault, d."	2	24
325	"dean, a."	1	11
326	"debbané, m."	1	9
327	"deberry, j.j."	1	9
328	"debruine, l."	1	8
329	"debruine, l.m."	59	277
330	"deiber, m.-p."	2	8
331	"deichmann, r."	1	7
332	"deisseroth, k."	1	6
333	"del mar badia martín, m."	1	8
334	"del rio, p."	2	20
335	"delis, i."	3	13
336	"delpla, i."	1	7
337	"demmin, d."	1	4
338	"denadai-souza, a."	1	20
339	"denvir, m."	1	6
340	"deshpande, v.s."	1	8
341	"desormeaux, c."	1	20
342	"deuchar, g.a."	2	13
343	"devault, d."	4	51
344	"dewar, d."	5	15
345	"dey, t."	1	21
346	"di biase, l."	2	24
347	"di campli san vito, p."	3	14
348	"di lazzaro, v."	3	45
349	"diaz, j.a."	2	4
350	"dickie, a.c."	6	77
351	"dickinson, s.a."	1	7
352	"diersch, n."	1	2
353	"dietrich, g."	1	20
354	"dijkstra, t."	2	19
355	"dixon, n."	2	19
356	"doherty, a."	1	17
357	"donald, a.w."	1	7
358	"donaldson, d.i."	1	22
359	"donnelly, d."	1	1
360	"donnelly, i."	1	7
361	"donohue, s."	3	15
362	"dooher, g."	2	24
363	"doroudi, r."	1	10
364	"douaud, g."	1	5
365	"douglas, f.j."	1	5
366	"doyon, j."	1	8
367	"draper, s."	3	6
368	"dreizler, a."	1	7
369	"driver, j."	1	7
370	"drysdale, m."	1	23
371	"du beau, a."	1	3
372	"dubsky, p."	1	10
373	"dukic, t."	1	5
374	"dumoulin, s.o."	11	52
375	"duncan, g."	1	14
376	"dunlop, j."	1	14
377	"dupierrix, e."	1	5
378	"dutriaux, l."	1	2
379	"economides, m."	1	7
380	"edwards, g."	1	4
381	"edwards, m."	1	2
382	"eickel, k."	1	5
383	"el-gaby, m."	2	8
384	"el-nasr, m.s."	1	4
385	"elizarovaa, a."	1	1
386	"ellis, j.g."	1	4
387	"ellison, t.m."	3	10
388	"elseoud, a.a."	1	11
389	"english, r."	1	2
390	"enning, f."	1	12
391	"ergun, o."	1	10
392	"erhard, p."	1	5
393	"esaki, h."	1	11
394	"espie, c.a."	5	20
395	"estes, z."	1	1
396	"etlin, a."	1	15
397	"eutamene, h."	1	20
398	"evans, a.j."	2	10
399	"evans, j."	1	4
400	"evans, j.j."	1	3
401	"evans, n.p."	1	8
402	"ewerdwalbesloh, j.a."	1	3
403	"fabius, j.h."	2	5
404	"fagan, a.j."	1	6
405	"fagoe, n."	1	8
406	"falkmer, m."	6	36
407	"falkmer, o."	1	9
408	"falkmer, t."	7	41
409	"fan, c.r."	1	19
410	"fan, y."	1	11
411	"farzan, f."	1	21
412	"fasolt, v."	5	45
413	"fast, e."	2	34
414	"fato, m.m."	1	4
415	"fay, n."	5	19
416	"fecchio, m."	1	12
417	"feinberg, d.r."	11	62
418	"felisatti, f."	1	7
419	"feng, a."	1	6
420	"feng, a.w."	1	5
421	"feng, d."	5	20
422	"ferguson, a."	2	31
423	"ferguson, b."	1	7
424	"ferguson, h.j."	1	22
425	"feric, z."	1	10
426	"fernández-dols, j.-m."	1	5
427	"ferrarelli, f."	1	21
428	"ferreri, f."	2	24
429	"fetters, m.d."	1	16
430	"fiebach, j.b."	1	4
431	"fincher, c.l."	3	13
432	"findlay, g."	1	4
433	"fink, b."	2	15
434	"firth, l.b."	2	10
435	"fischer, m.h."	1	3
436	"fish, l.a."	1	3
437	"fisher, c.i."	25	140
438	"fitzgerald, j.j."	1	8
439	"fitzgerald, p.b."	1	21
440	"fleischer, h."	1	8
441	"fleischhauer, j."	1	5
442	"fleming, d."	1	10
443	"fleming, l."	1	5
444	"fletcher, p."	1	9
445	"florio, l."	2	24
446	"flynn, j.r."	1	8
447	"fogel, s."	1	8
448	"foltz, w.d."	1	7
449	"foo, s.y."	1	7
450	"forbes, k.p."	1	7
451	"formisano, e."	1	3
452	"forrest, l."	1	7
453	"forss, n."	2	27
454	"forster, i.c."	1	11
455	"fouragnan, e."	4	12
456	"foxe, j.j."	2	5
457	"fracasso, a."	22	99
458	"fraccaro, p.j."	2	14
459	"freeman, c."	1	7
460	"freeman, d."	1	5
461	"freitag, c.m."	1	10
462	"french, n."	1	7
463	"freund, i.m."	1	4
464	"fried, p.j."	1	4
465	"friedli, i."	1	6
466	"fristedt, s."	1	9
467	"frith, c."	1	9
468	"frost, r."	2	9
469	"fruhen, l.s."	1	2
470	"fröhlich, f."	1	11
471	"fu, x."	1	22
472	"fukaya, t."	1	6
473	"furue, m."	4	38
474	"furusyo, n."	1	6
475	"furuta, t."	6	51
476	"fusaroli, r."	1	5
477	"fushimi, y."	2	16
478	"gadalla, k.k.e."	1	4
479	"gainer, a."	1	21
480	"gajwani, r."	4	38
481	"galkina, a."	1	3
482	"gallagher, a."	2	8
483	"gallagher, l."	3	18
484	"galllagher, l."	1	7
485	"gambi, c."	1	2
486	"ganesh, s."	1	4
487	"ganley, r.p."	3	34
488	"gann, t.m."	1	1
489	"garau, r."	1	5
490	"gardani, m."	11	58
491	"gardner, t."	2	4
492	"garrod, o."	3	10
493	"garrod, o.g.b."	9	36
494	"garrod, s."	13	31
495	"gaskell, m.g."	1	4
496	"gauthier, c.j."	1	10
497	"genzel, l."	1	1
498	"georgila, k."	3	46
499	"gerloff, c."	1	19
500	"gherman, s."	3	4
501	"gibbs, g."	2	24
502	"gibson, j."	2	8
503	"gill, d."	1	3
504	"gill, j.m.r."	6	56
505	"gill, k."	1	23
506	"gillard, j."	1	4
507	"gillies, m.j."	1	8
508	"gilmour, l."	3	33
509	"ginty, d.d."	1	14
510	"giordano, b.l."	2	10
511	"giovanni, a."	1	12
512	"girard, s."	1	6
513	"girdler, s."	1	8
514	"gjedde, a."	1	5
515	"glendinning, s."	2	19
516	"gliva-mcconvey, g.a."	1	16
517	"glowinski, d."	1	9
518	"goebel, r."	1	7
519	"goense, j."	10	59
520	"gold, m.s."	1	5
521	"goldstein, a."	1	11
522	"gomez-lima, m."	1	5
523	"gomila, a."	1	3
524	"gonzalez-castillo, j."	1	12
525	"gopinath, k."	1	7
526	"gorgolewski, k.j."	1	10
