label	replace by
ahrens, m.-m.	ahrens, m.m.
al-wasity, s.m.h.	al-wasity, s.
allan, s.m.	allan, s.
badia martín, m.d.m.	badia martín, m.
barr, d.j.	barr, d.
bell, a.m.	bell, a.
benwell, c.s.y.	benwell, c.s.
biello, s.m.	biello, s.
brewster, s.a.	brewster, s.
dale, a.c.	dale, a.
de melo, c.m.	de melo, c.
debruine, l.m.	debruine, l.
evans, j.j.	evans, j.
feng, a.w.	feng, a.
garrod, o.g.b.	garrod, o.
gumley, a.i.	gumley, a.
han, c.e.	han, c.
hughes, d.a.b.	hughes, d.
hughes, d.d.	hughes, d.
hughes, d.i.	hughes, d.
hughes, d.j.	hughes, d.
hughes, p.n.	hughes, p.
ince, r.a.a.	ince, r.
jack, r.e.	jack, r.
jones, b.c.	jones, b.
kelly, r.m.g.	kelly, r.
koerber, h.r.	koerber, h.
krämer, n.c.	krämer, n.
lindsay, s.l.	lindsay, s.
lucas, g.m.	lucas, g.
lyall, d.m.	lyall, d.
mackay, d.f.	mackay, d.
macmahon, k.m.a.	macmahon, k.
marsella, s.c.	marsella, s.
martin, m.s.	martin, m.
michel, c.m.	michel, c.
morand, s.m.	morand, s.
morris, b.j.	morris, b.
morrison, d.k.	morrison, d.
moxey, l.m.	moxey, l.
muir, k.w.	muir, k.
mullin, j.m.	mullin, j.
mullinger, k.j.	mullinger, k.
o'connor, j.j.m.	o'connor, j.j.
palva, s.o.	palva, s.
pollick, f.e.	pollick, f.
porter, d.a.	porter, d.
pratt, j.a.	pratt, j.
reid, c.a.	reid, c.
rousselet, g.a.	rousselet, g.
schyns, p.g.	schyns, p.
simmons, d.r.	simmons, d.
smethurst, j.a.	smethurst, j.
spliet, w.g.m.	spliet, w.
tan, h.-r.m.	tan, h.
uhlhaas, p.j.	uhlhaas, p.
vallatos, a.v.	vallatos, a.
van rijsbergen, n.j.	van rijsbergen, n.
versluis, m.j.	versluis, m.
wigboldus, d.h.j.	wigboldus, d.
wyse, c.a.	wyse, c.
zimmerman, a.l.	zimmerman, a.
